Time,Open,High,Low,Last,Change,%Chg,Volume
10/13/2021,126.5729,127.0501,126.5251,127.0119,0.6395,+0.51%,19131264
10/12/2021,126.0765,126.4201,125.8379,126.3724,0.8017,+0.64%,20818160
10/11/2021,125.5898,125.8379,125.5516,125.5707,-0.2386,-0.19%,4543755
10/08/2021,126.2579,126.2865,125.7139,125.8093,-0.5822,-0.46%,9512457
10/07/2021,126.6779,126.7733,126.3533,126.3915,-0.5632,-0.44%,16559270
10/06/2021,126.9451,127.0692,126.7351,126.9547,0.0382,+0.03%,14516463
10/05/2021,127.3269,127.4319,126.9165,126.9165,-0.5249,-0.41%,15333355
10/04/2021,127.3555,127.5846,127.1837,127.4414,-0.21,-0.16%,13547877
10/01/2021,127.1646,127.8423,127.1169,127.6514,0.921,+0.73%,22401232
09/30/2021,126.9971,127.0638,126.6732,126.7304,-0.3334,-0.26%,22460617
09/29/2021,127.4448,127.721,126.9399,127.0638,-0.0286,-0.02%,15699656
09/28/2021,127.7021,127.7021,127.0733,127.0924,-1.3718,-1.07%,20980633
09/27/2021,128.2546,128.5642,128.1688,128.4642,-0.0667,-0.05%,13755489
09/24/2021,128.6642,128.75,128.3927,128.5309,-0.2762,-0.21%,11333913
09/23/2021,129.2835,129.2835,128.6071,128.8071,-0.8955,-0.69%,15467885
09/22/2021,129.3501,129.7598,129.2072,129.7026,0.362,+0.28%,16688379
09/21/2021,129.3692,129.4549,129.2453,129.3406,-0.0095,-0.01%,16621722
09/20/2021,128.9691,129.3978,128.9691,129.3501,0.4001,+0.31%,18390697
09/17/2021,128.8833,128.9881,128.7023,128.95,-0.2858,-0.22%,16553494
09/16/2021,129.0358,129.312,128.9595,129.2358,-0.181,-0.14%,17091784
09/15/2021,129.5216,129.5597,129.2195,129.4168,-0.1524,-0.12%,14899993
09/14/2021,129.3406,129.8074,129.2501,129.5692,0.3905,+0.30%,17372899
09/13/2021,129.1501,129.3454,129.1215,129.1787,0.3144,+0.24%,13813852
09/10/2021,129.1024,129.1787,128.6928,128.8643,-0.3715,-0.29%,11312293
09/09/2021,128.569,129.2977,128.4546,129.2358,0.8383,+0.65%,18909566
09/08/2021,128.207,128.4928,128.0355,128.3975,0.4096,+0.32%,16842579
09/07/2021,128.1307,128.1307,127.764,127.9879,-0.6096,-0.47%,14980812
09/03/2021,128.5213,128.6928,128.4356,128.5975,-0.4668,-0.36%,8063027
09/02/2021,128.9595,129.0643,128.7976,129.0643,0.2286,+0.18%,12409872
09/01/2021,128.9214,128.9786,128.4928,128.8357,0.1658,+0.13%,16824737
08/31/2021,128.9267,129.1264,128.5748,128.6699,-0.2948,-0.23%,16450733
08/30/2021,128.6224,129.0123,128.5939,128.9647,0.2187,+0.17%,9589725
08/27/2021,128.1754,128.7936,127.9805,128.746,0.7132,+0.56%,12271329
08/26/2021,128.223,128.242,127.8616,128.0328,-0.038,-0.03%,15429692
08/25/2021,128.4037,128.5083,127.9139,128.0708,-0.3329,-0.26%,16334011
08/24/2021,128.5748,128.6699,128.299,128.4037,-0.2948,-0.23%,14493095
08/23/2021,128.6985,128.8221,128.5748,128.6985,0.0951,+0.07%,12685942
08/20/2021,128.6604,128.7508,128.4322,128.6034,0.0856,+0.07%,11337674
08/19/2021,128.4227,128.6224,128.2325,128.5178,0.2948,+0.23%,16489527
08/18/2021,128.3181,128.4846,128.0042,128.223,-0.0856,-0.07%,9605176
08/17/2021,128.3276,128.5083,128.2182,128.3086,-0.2282,-0.18%,15831585
08/16/2021,128.7746,129.0123,128.5083,128.5368,0.0761,+0.06%,15986374
08/13/2021,127.9186,128.4988,127.814,128.4607,0.8559,+0.67%,18766091
08/12/2021,127.4336,127.6286,127.31,127.6048,0.1807,+0.14%,15345050
08/11/2021,127.2244,127.7475,127.0247,127.4241,0.1997,+0.16%,16721502
08/10/2021,127.6619,127.6714,127.2197,127.2244,-0.2853,-0.22%,12727377
08/09/2021,128.0898,128.1992,127.5097,127.5097,-0.5516,-0.43%,14896679
08/06/2021,128.3751,128.5368,128.0423,128.0613,-1.0556,-0.82%,9086776
